"X.1","X","MatchURL","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Href","Player_Num","Nation","First_pos_fbref","Other_pos_fbref","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Competition_Name","Gender","Country","Tier","Season_End_Year","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Tkl.Int","Clr","Err","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","TotDist_Carries","PrgDist_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels","fotmob_position_short","fotmob_position","fotmob_rating","sofa_position","sofa_rating","ws_position","ws_rating"
1,1,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","rafael borre","/en/players/c68da769/Rafael-Borre",19,"COL","FW",NA,"26-324",45,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,8,9,88.9,1,9,0,4,3,"Fußball-Bundesliga","M","GER","1st",2023,8,9,88.9,159,34,3,3,100,4,5,80,1,1,100,0,0,0,1,0,0,1,9,7,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,2,7,6,0,15,75,1,25,29,11,0,0,3,0,11,1,0,0,1,1,0,0,0,0,0,1,0,1,0,"ST","Attacker",6.64,"F",6.6,"FW",6.18
2,2,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","randal kolo muani","/en/players/c0b3669f/Randal-Kolo-Muani",9,"FRA","FW",NA,"23-243",45,1,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0,1,0,5,8,62.5,1,9,2,3,0,"Fußball-Bundesliga","M","GER","1st",2023,5,8,62.5,62,7,4,5,80,1,2,50,0,1,0,0,0,0,0,0,0,1,8,7,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,11,1,15,0,3,100,108,38,1,1,2,2,13,5,0,0,1,0,1,0,0,0,0,2,1,0,100,"","Substitute",6.87,"F",6.9,"Sub",6.7
3,3,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","mario gotze","/en/players/9efa1d25/Mario-Gotze",27,"GER","RM","AM","30-063",90,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0.1,1,0,21,32,65.6,4,22,2,6,1,"Fußball-Bundesliga","M","GER","1st",2023,21,32,65.6,355,150,11,15,73.3,8,9,88.9,2,3,66.7,0.1,0.2,1,4,1,0,4,32,30,1,0,1,0,1,0,0,0,0,0,21,1,3,3,2,2,1,0,2,3,66.7,1,1,0,1,3,0,0,41,2,7,17,17,0,41,16.7,4,66.7,120,67,1,0,0,1,23,2,0,0,4,1,1,2,0,0,0,9,0,0,0,"AM","Midfielder",7.3,"M",6.7,"AMC",6.23
4,4,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","jesper lindstrom","/en/players/37dc1a48/Jesper-Lindstrom",29,"DEN","AM",NA,"22-157",45,0,0,0,0,1,0,0,0,18,0,0,0,0.5,0.5,0,0,0,10,12,83.3,0,6,1,3,0,"Fußball-Bundesliga","M","GER","1st",2023,10,12,83.3,162,3,6,8,75,3,3,100,1,1,100,0,0,0,1,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,8,9,2,18,0,3,100,21,15,0,1,0,0,11,3,0,0,0,0,0,0,0,0,0,1,1,2,33.3,"AM","Midfielder",5.88,"F",5.8,"AMC",5.38
5,5,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","christopher lenz","/en/players/bbd86530/Christopher-Lenz",25,"GER","LB",NA,"27-317",45,0,0,0,0,0,0,0,0,30,3,2,1,0,0,0,1,0,22,25,88,3,16,1,1,0,"Fußball-Bundesliga","M","GER","1st",2023,22,25,88,430,70,10,11,90.9,9,9,100,3,5,60,0,0,0,2,0,0,3,25,24,1,0,0,0,2,1,0,0,0,0,22,0,0,3,2,0,2,1,0,0,0,0,1,0,1,5,0,0,30,1,6,15,10,1,30,0,0,0,79,59,1,0,0,0,18,2,0,1,1,0,2,2,0,0,0,4,0,0,0,"","Substitute",6.76,"M",7.1,"Sub",6.81
6,6,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","djibril sow","/en/players/4c6facae/Djibril-Sow",8,"SUI","CM",NA,"25-180",90,0,0,0,0,0,0,0,0,38,0,2,0,0,0,0,1,0,30,35,85.7,3,20,0,1,1,"Fußball-Bundesliga","M","GER","1st",2023,30,35,85.7,576,222,14,16,87.5,13,14,92.9,3,4,75,0,0.1,0,5,1,0,3,35,35,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,38,2,11,22,6,0,38,100,0,0,106,49,0,0,0,0,27,0,0,2,0,0,0,0,0,0,0,7,0,0,0,"CM","Midfielder",6.68,"M",6.2,"MC",5.76
7,7,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","sebastian rode","/en/players/e12b0b5b/Sebastian-Rode",17,"GER","CM",NA,"31-298",45,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,1,0,12,14,85.7,3,5,1,1,0,"Fußball-Bundesliga","M","GER","1st",2023,12,14,85.7,214,44,5,5,100,7,8,87.5,0,1,0,0,0,0,2,0,0,3,14,13,1,1,0,0,0,0,0,0,0,0,12,0,0,1,1,0,1,0,1,1,100,0,0,0,0,2,0,0,17,0,2,10,6,0,17,0,1,100,39,35,0,0,0,1,7,1,0,1,1,0,0,1,0,0,0,3,0,0,0,"CM","Midfielder",5.99,"M",6,"MC",5.57
8,8,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","kristijan jakic","/en/players/a8ee54ad/Kristijan-Jakic",6,"CRO","CM",NA,"25-083",45,0,0,0,0,0,0,0,0,16,2,1,0,0,0,0,1,0,7,11,63.6,1,6,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,7,11,63.6,136,39,2,3,66.7,5,7,71.4,0,1,0,0,0,1,1,0,0,1,11,10,1,1,0,0,0,0,0,0,0,0,7,0,0,2,1,1,1,0,2,3,66.7,1,0,0,0,3,0,0,16,0,2,10,4,1,16,0,0,0,26,15,0,0,0,0,8,0,0,1,1,1,0,1,0,0,0,1,0,0,0,"","Substitute",6.49,"M",6.6,"Sub",6.36
9,9,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","filip kostic","/en/players/b1cd37e6/Filip-Kostic",10,"SRB","WB","LM","29-277",74,0,0,0,0,1,0,1,0,45,2,1,0,0,0,0.1,1,0,23,40,57.5,4,23,3,3,1,"Fußball-Bundesliga","M","GER","1st",2023,23,40,57.5,469,260,8,11,72.7,12,16,75,3,11,27.3,0.1,0.1,1,1,1,0,4,40,25,14,3,0,1,7,6,5,3,2,0,23,1,0,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0,45,0,10,16,20,3,45,33.3,1,33.3,172,105,1,1,0,1,23,3,0,1,1,0,7,0,0,0,0,3,0,0,0,"LM","Midfielder",6.46,"M",6.4,"DML",5.93
10,10,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","eintracht frankfurt","Home","faride alidou","/en/players/00f518d8/Faride-Alidou",11,"GER","LM",NA,"21-018",16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,0,1,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,3,3,100,42,2,2,2,100,1,1,100,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"","Substitute",6.07,"F",6.5,"Sub",5.91
